type					1	    2      3
speed					0.8	    1.4    1.1
beam_width				30	    30     30
angular_velocity		7	    7      7
rotation_range			50	    50     50
seeker_on_distance		20	    20     20
range					10	    10     10
attack_range			80  	80     80
length					4   	4      4
p_h					    1	    1      1
radar_peak_power		1000000	1000000 1000000
antenna_gain_factor		9300	9300    9300
wavelength_of_signal	3.7	    3.7     3.7
radar_receiver_bandwidth 8	    8       8
radius					0.25	0.25    0.25
cla					    SSM	    SSM     SSM
