id						    1		2		3       4
speed						25		25		25      25
course					    90		90		90      90
surface_tracking_limit		3		3		3       3
surface_engagement_limit	12		10		10      10
air_tracking_limit			22		24		24      24
air_engagement_limit		24		16		16      16
evading_course				20		20		20      20
type_m_sam					3		3		3       3
num_m_sam					16		12		20      12
type_l_sam					1		1		1       1
num_l_sam					32		20		20      20
type_ssm					1		1		2       3
num_ssm					    16		12		4       6
decoy_launching_bearing		15		8		8       8
decoy_launching_distance	2		2		2       2
decoy_launching_interval	20		20		20      20
decoy_rcs					-0.1 	-0.1	-0.1    -0.1
decoy_duration				10		10		10      10
decoy_decaying_rate			0.9		0.9		0.9     0.9
length						100		100		100     100
breadth					    25		25		25      25
height						20		20		20      20
detection_range				60		60		60      60
radar_peak_power			6000000	6000000	6000000 6000000
antenna_gain_factor			9300	9300	9300    9300
wavelength_of_signal		7.5		7.5		7.5     7.5
radar_receiver_bandwidth	4		4		4       4
ciws_max_range				4		4		4       4
ciws_max_num_per_min		4200	4200	4200    4200
ciws_bullet_capacity		1100	1100	1100    1100
ssm_launching_duration_min	10		10		10      10
ssm_launching_duration_max	11		11		11      11
lsam_launching_duration_min	6		6		6       6
lsam_launching_duration_max	7		7		7       7
msam_launching_duration_min	2		2		2       2
msam_launching_duration_max	3		3		3       3
side						blue	yellow	yellow  yellow
number						    1		2		3       4
